"Word","FREQcount","CDcount","Dom_PoS_SUBTLEX","Percentage_dom_PoS"
"a",1041179,8382,"Article","0.96"
"aa",87,70,"Name","0.92"
"aaa",25,23,"Name","0.80"
"aah",2688,634,"Interjection","1.00"
"aahed",1,1,"Verb","1.00"
"aahing",2,2,"Verb","1.00"
"aahs",5,4,"Noun","1.00"
"aal",1,1,"Adjective","1.00"
"aardvark",21,12,"Noun","0.76"
"aargh",33,26,"Interjection","1.00"
"aaron",747,162,"Name","1.00"
"aarrgh",1,1,"Verb","1.00"
"aarrghh",1,1,"Noun","1.00"
"aas",2,2,"Noun","0.50"
"ab",75,51,"Unclassified","0.78"
"aba",4,4,"Noun","1.00"
"abaca",1,1,"Noun","1.00"
"aback",15,15,"Adverb","1.00"
"abacus",12,10,"Noun","0.92"
"abacuses",1,1,"Noun","1.00"
"abaddon",10,4,"Noun","0.60"
"abaft",2,1,"Verb","0.50"
"abalone",26,11,"Verb","0.54"
"abalones",6,2,"Noun","1.00"
"abandon",413,312,"Verb","0.96"
"abandoned",678,538,"Verb","0.71"
"abandoner",1,1,"Noun","1.00"
"abandoning",86,79,"Verb","1.00"
"abandonment",49,45,"Noun","1.00"
"abandons",14,14,"Verb","1.00"
"abase",3,3,"Verb","1.00"
"abastard",1,1,"Noun","1.00"
"abate",5,3,"Verb","0.80"
"abated",4,4,"Verb","1.00"
"abatement",3,3,"Noun","1.00"
"abates",2,2,"Verb","1.00"
"abating",1,1,"Verb","1.00"
"abattoir",7,5,"Noun","1.00"
"abay",3,1,"Name","1.00"
"abb",3,3,"Name","0.54"
"abba",9,8,"Name","0.78"
"abbas",5,2,"Name","1.00"
"abbe",2,2,"Name","1.00"
"abbess",2,2,"Noun","0.50"
"abbesses",1,1,"Noun","1.00"
"abbey",162,53,"Noun","0.94"
"abbot",43,24,"Name","0.51"
"abbott",401,130,"Name","1.00"
"abbreviate",1,1,"Verb","1.00"
"abbreviated",16,14,"Adjective","0.75"
"abbreviation",12,8,"Noun","1.00"
"abbreviations",10,8,"Noun","1.00"
"abby",637,102,"Name","1.00"
"abc",124,92,"Name","0.91"
"abd",1,1,"Noun","1.00"
"abdicate",9,9,"Verb","1.00"
"abdicated",7,7,"Verb","1.00"
"abdicates",1,1,"Noun","1.00"
"abdicating",3,3,"Verb","1.00"
"abdication",6,6,"Noun","1.00"
"abdomen",171,122,"Noun","1.00"
"abdomens",3,3,"Noun","1.00"
"abdominal",174,104,"Adjective","1.00"
"abdominals",7,7,"Noun","1.00"
"abduct",36,32,"Verb","0.94"
"abducted",255,176,"Verb","0.94"
"abductee",20,11,"Noun","1.00"
"abductees",18,13,"Noun","1.00"
"abducting",16,13,"Verb","1.00"
"abduction",185,111,"Noun","1.00"
"abductions",42,22,"Noun","1.00"
"abductor",18,13,"Noun","0.94"
"abductors",11,8,"Noun","1.00"
"abducts",8,8,"Verb","1.00"
"abeam",7,4,"Noun","0.86"
"abed",10,9,"Adverb","1.00"
"abel",68,24,"Name","0.97"
"abele",1,1,"Noun","1.00"
"abend",9,6,"Noun","0.67"
"aberdeen",17,12,"Name","1.00"
"abernethy",1,1,"Name","1.00"
"aberrant",15,13,"Adjective","0.80"
"aberration",28,26,"Noun","1.00"
"aberrations",8,8,"Noun","1.00"
"abet",5,5,"Verb","1.00"
"abetted",8,8,"Verb","1.00"
"abetting",26,25,"Verb","0.96"
"abettor",1,1,"Noun","1.00"
"abeyance",2,2,"Noun","1.00"
"abhor",12,12,"Verb","1.00"
"abhorred",7,7,"Verb","1.00"
"abhorrent",9,9,"Adjective","1.00"
"abhors",4,3,"Verb","1.00"
"abide",138,124,"Verb","1.00"
"abided",3,2,"Verb","1.00"
"abiders",1,1,"Noun","1.00"
"abides",4,3,"Verb","1.00"
"abiding",25,24,"Adjective","0.68"
"abigail",154,43,"Name","0.58"
"abilene",68,30,"Name","0.88"
"abilities",312,209,"Noun","1.00"
"ability",980,679,"Noun","1.00"
"abiogenist",3,1,"Noun","1.00"
"abit",1,1,"Noun","1.00"
"abject",20,20,"Adjective","1.00"
"abjectly",3,3,"Adverb","1.00"
"abjure",1,1,"Verb","1.00"
"ablate",1,1,"Verb","1.00"
"ablated",1,1,"Verb","1.00"
"ablation",1,1,"Noun","1.00"
"ablaze",21,19,"Adjective","1.00"
"able",8155,4285,"Adjective","1.00"
"abler",1,1,"Adjective","1.00"
"ablest",2,2,"Adjective","1.00"
"abloom",3,1,"Verb","0.67"
"ablution",3,2,"Noun","1.00"
"ablutions",4,3,"Noun","1.00"
"ably",9,9,"Adverb","1.00"
"abner",172,16,"Name","0.58"
"abnormal",148,128,"Adjective","1.00"
"abnormalities",25,23,"Noun","1.00"
"abnormality",26,20,"Noun","1.00"
"abnormally",20,19,"Adverb","1.00"
"abnormity",1,1,"Noun","1.00"
"abo",6,6,"Noun","1.00"
"aboard",1358,709,"Adverb","0.75"
"abode",33,31,"Noun","1.00"
"abogado",2,2,"Noun","1.00"
"abolish",24,21,"Verb","1.00"
"abolished",20,18,"Verb","1.00"
"abolishes",1,1,"Verb","1.00"
"abolishing",2,2,"Verb","1.00"
"abolition",10,8,"Noun","1.00"
"abolitionism",1,1,"Noun","1.00"
"abolitionist",11,7,"Noun","1.00"
"abolitionists",13,4,"Noun","1.00"
"abomasum",1,1,"Noun","1.00"
"abominable",32,25,"Adjective","1.00"
"abominably",8,8,"Adverb","1.00"
"abominate",3,2,"Verb","0.33"
"abomination",58,47,"Noun","1.00"
"abominations",7,7,"Noun","1.00"
"aboriginal",9,9,"Adjective","1.00"
"aboriginally",1,1,"Adverb","1.00"
"aboriginals",1,1,"Name","1.00"
"aborigine",4,4,"Noun","0.75"
"aborigines",9,8,"Noun","0.89"
"aborning",1,1,"Verb","1.00"
"abort",235,118,"Verb","1.00"
"aborted",32,29,"Verb","0.72"
"aborting",13,11,"Verb","1.00"
"abortion",369,155,"Noun","1.00"
"abortionist",4,4,"Noun","1.00"
"abortionists",1,1,"Noun","1.00"
"abortions",35,28,"Noun","1.00"
"abortive",1,1,"Adjective","1.00"
"abortively",1,1,"Adverb","1.00"
"aborts",1,1,"Verb","1.00"
"abound",18,16,"Verb","1.00"
"abounded",3,3,"Verb","1.00"
"abounding",4,3,"Verb","1.00"
"abounds",10,10,"Verb","1.00"
"about",185206,8321,"Preposition","0.89"
"abouts",8,8,"Adverb","1.00"
"above",2493,1778,"Preposition","0.71"
"aboveboard",14,13,"Noun","1.00"
"aboveground",7,7,"Adjective","1.00"
"abovementioned",1,1,"Adjective","1.00"
"abracadabra",53,26,"Noun","0.83"
"abrade",1,1,"Verb","1.00"
"abraded",5,5,"Verb","0.60"
"abraham",264,140,"Name","0.99"
"abraid",1,1,"Verb","1.00"
"abrasion",18,15,"Noun","1.00"
"abrasions",56,50,"Noun","1.00"
"abrasive",23,22,"Adjective","1.00"
"abrasiveness",2,1,"Noun","1.00"
"abrasives",4,1,"Verb","0.50"
"abraxas",29,3,"Name","0.52"
"abreaction",1,1,"Noun","1.00"
"abreast",26,25,"Adjective","1.00"
"abridge",1,1,"Noun","1.00"
"abridged",9,6,"Adjective","0.56"
"abridgement",1,1,"Noun","1.00"
"abridging",2,2,"Verb","1.00"
"abroad",250,203,"Adverb","1.00"
"abrogate",1,1,"Verb","1.00"
"abrogated",2,2,"Verb","1.00"
"abrogating",1,1,"Verb","1.00"
"abrupt",58,56,"Adjective","1.00"
"abruption",6,5,"Noun","1.00"
"abruptly",45,43,"Adverb","1.00"
"abruptness",4,4,"Noun","1.00"
"abs",54,44,"Adjective","1.00"
"abscam",3,2,"Name","0.67"
"abscess",25,21,"Noun","1.00"
"abscessed",3,3,"Verb","0.67"
"abscesses",7,6,"Noun","1.00"
"abscond",5,5,"Verb","0.80"
"absconded",5,5,"Verb","1.00"
"absconder",1,1,"Noun","1.00"
"absconders",2,2,"Verb","0.50"
"absconding",3,3,"Verb","0.67"
